"Dénomination / Nom";"Début d'activité";"SIREN";"Représentants";"Adresse du siège";"Forme juridique";"Activité";"Département";"Etablissements";"Capital";"Statut"
"DE LEUSSE ET CIE";"01/01/1948";"'058801879";"SYLVAIN DE LEUSSE, GUILLAUME DE LEUSSE";"124 AV DE LA CAPELETTE 13010 MARSEILLE FRANCE ";"Société par actions simplifiée";"La représentation directe de compagnies d'assurances, le courtage de toutes catégories d'assurances terrestres et maritimes, et toutes opérations d'assurances en général. La propriété et la gestion de droits sociaux ou tous autres titres, détenus en pleine propriété, nue-propriété ou usufruit par voie d'échange, d'apport, de souscriptions de parts, d'actions, d'obligations et de tous titres ou droits sociaux en général.";"'13";"36 RUE ROUX DE BRIGNOLES 13006 MARSEILLE FRANCE 80 RUE DE ROME 13006 MARSEILLE FRANCE 52 AV DE LA CAPELETTE 13010 MARSEILLE FRANCE ";"7622.45";"Active"
"STE DES CARTES POSTALES APA";"01/01/1948";"'085820512";"DIDIER POUX";"15 RUE ALAIN COLAS 81000 ALBI FRANCE ";"Société par actions simplifiée";"La fabrication des cartes postales, l'imprimerie en tous genres en France et dans les colonies et pays protectorat ou à l'étranger";"'81";"8 RUE JUSTIN ALIBERT 81000 ALBI FRANCE ";"40640.0";"Active"
"SOCIETE D'EXPLOITATION FAMILLE CLAUDE THIENOT";"01/01/1948";"'095650073";"GAETAN DAMIEN CLAUDE THIENOT";"14 RUE DES MOISSONS 51100 REIMS FRANCE ";"Société à responsabilité limitée";"La location et/ou l'exploitation directe ou indirecte d'un domaine Viti-vinicole et/ou agricole, la prestation de service agricoles, Viti-Vinicoles et/ou horticoles, la culture de plantes et notamment la culture d'épices aromatiques, médicinales et pharmaceutiques";"'51";"";"38494.0";"Active"
"SCI AGRIC DOMAINE GRANDMONT";"01/01/1948";"'302964911";"ANDRE LEMMET";"8 RUE DU GRAND MONT 28700 AUNAY-SOUS-AUNEAU FRANCE ";"Société civile immobilière";"L'ACHAT, LA VENTE, LA PRISE EN GERANCE, LA LOCATION DE TOUTES TERRES DE CULTURES OU FORESTIERES DE TOUS DOMAINES RURAUX OU FORESTIERS.";"'28";"";"7622.45";"Active"
"ETABLISSEMENTS LAGREULET";"01/01/1948";"'309694651";"NICOLAS EUGENE ROGER DISSEIX, RODOLPHE GENEIX, ANNIE BURANDE";"LD LES MOULINS 63500 SAINT-BABEL FRANCE ";"Société par actions simplifiée";"FABRICATION D'EMBALLAGES INDUSTRIELS-CAISSERIE ET CONDITIONNEMENT DIVERS AU MOYEN DE TOUS MATERIAUX-SCIERIE";"'63";"";"150000.0";"Active"
"EDITIONS COSTALLAT";"01/01/1948";"'582042867";"";"118 RUE DU MONT CENIS 75018 PARIS FRANCE ";"Société par actions simplifiée";"LA PRODUCTION, L'EDITION, LA REALISATION, LA DISTRIBUTION, L'ACHAT, LA VENTE, LA LOCATION DE TOUS FILM, PROGRAMME ET PRODUIT AUDIO-VISUEL FRANCAIS OU ETRANGER, TANT EN FRANCE QUE DANS TOUS PAYS SUR TOUT SUPPORT ET POUR TOUT PROCEDE (CINEMATOGRAPHE, TELEVISSION HERTZIENNE, TELEVISION PAR CABLE SATELLITE, VIDEOGRAMME OU TOUS AUTRES PROCEDES CONNUS OU INCONNUS SANS LIMITATION) ET NOTAMMENT LA REALISATION EN QUALITE DE PRODUCTEUR D'OEUVRES CINEMATOGRAPHIQUES OU AUDIOVISUELLES ENTRANT DANS LE CHAMP D'APPLICATIONDE L'AGREMENT PREVU A L'ARTICLE 40 DE LA LOI SU 11 JUILLET 1985. L'ACHAT, LA VENTE, LA FABRICATION, L'EXPLOITATION, LA LOCATIONDE TOUS APPAREILS OU PROCEDES D'ENREGISTREMENT, LA TRANSMISSION, DIFFUSION, REPRODUCTION DE SON OU D'IMAGE, OU D'IMAGE ET DE SON, AINSI QUE LE COMMERCE DE TOUTES MATIERES UTILISEES DANS L'INDUSTRIE DU CINEMA, DE L'AUDIO-VISUEL ET DE LA TELEVISION. LA CREATION, L'ACHAT, LA VENTE, L'EXPLOITATION DE TOUS ETABLISSEMENTS INDUSTRIELS OU COMMERCIAUX SE RAPPORTANT DIRECTEMENT OU INDIRECTEMENT A L'INDUSTRIE CINEMATOGRAPHIQUE, AUDIO-VISUELLE OU TELEVISUELLE DESTINEE A L'INFORMATION, LA CULTURE OU LA DISTRACTION DU PUBLIC.";"'75";"50 RUE DES TOURNELLES 75003 PARIS FRANCE 29 AV MAC-MAHON 75017 PARIS FRANCE ";"322110.0";"Active"
"JEUNET";"01/01/1948";"'015551666";"CLAUDE CORNUOT";"88 AV ROLAND CARRAZ 21300 CHENOVE FRANCE ";"Société par actions simplifiée";"Vente, réparation, location de cycles et motocycles et équipements";"'21";"3 AV MARECHAL FOCH 21000 DIJON FRANCE 1 RUE PASTEUR 21300 CHENOVE FRANCE 61 RUE DU FAUBOURG MADELEINE 21200 BEAUNE FRANCE 11 RUE Paul Langevin 21300 Chenôve FRANCE ";"40000.0";"Active"
"SARL ETS TERRADE ET FILS";"01/01/1948";"'766500854";"JEAN-LUC TERRADE";"6 RUE DE LA PROCESSION 87300 BELLAC FRANCE ";"Société par actions simplifiée";"Commerce de gros en quincaillerie bricolage équipement de la maison et du jardin";"'87";"13 RUE LAMARTINE 87300 BELLAC FRANCE ";"75000.0";"Active"
"COOP AGRICOLE ACHATS EN COMMUN";"01/01/1948";"'781371976";"SARAH CATHELINEAU, PASCAL FAVRE, PHILIPPE GUINOT, SAMUEL PARENT, CHRISTOPHE ERIC POUGNAUD, BENOIT SIMON";"ZI DE L OUMIERE 17310 SAINT PIERRE D'OLERON FRANCE ";"Société coopérative agricole";"Approvisionnement agricole (engrais, produits phytosanitaires, amendements Etc)";"'17";"";"23725.74";"Active"
"CEPOVETT";"01/01/1948";"'775644867";"NICOLAS SANDJIAN, CHANTAL SOPENA, DANIEL SANDJIAN, MICHEL SANDJIAN, GAEL VANNEUVILLE";"150 ANCIENNE ROUTE DE BEAUJEU 69400 GLEIZE FRANCE ";"Société par actions simplifiée";"L'achat, la création, la confection, la vente de tous vêtements notamment de travail, chaussures et articles chaussants, sacs notamment de transport ainsi que tous articles de bagagerie en quelque matière que ce soit, de tous produits de protection de travail et sanitaire et linge de maison ainsi que de tous articles et accessoires s'y rattachant directement ou indirectement ; La fabrication et la transformation de tissus et tous produits à même destination ; Toutes prestations de services de lavage, d'entretien et de réparation des vêtements notamment de travail ; L'exploitation, sous quelque forme que ce soit, des marques de fabriques, brevets et modèles déposés qu'elle possède ou dont elle a la jouissance ou qu'elle serait appelée à créer, à acquérir en propriété ou en jouissance.";"'69";"29 CHE RURAL 44 DE CAPITE 30200 BAGNOLS-SUR-CEZE FRANCE ";"9000000.0";"Active"
"MARTIN MUSIQUE";"01/01/1948";"'685550667";"CHRISTOPHE RENE GEORGES FELIX, MAX DESMURS";"350 CHE DES BERTHILLIERS 71850 CHARNAY-LES-MACON FRANCE ";"Société par actions simplifiée";"les éditions de musique, théâtre, l'achat et la vente de tous articles de musique et de fournitures générales pour société de musique";"'71";"106 GR DE LA COUPEE 71850 CHARNAY-LES-MACON FRANCE 14 RUE PDT EDOUARD HERRIOT 69001 LYON 1ER FRANCE 3 QUAI JEAN MOULIN 69001 LYON FRANCE 15 RUE DE CONDE 69002 LYON FRANCE ";"165500.0";"Active"
"GROUPEMENT FORESTIER BOSCHANT";"02/01/1948";"'422989517";"CLAUDE SIMONE BOSCHATEL";"BP N 13 45490 CORBEILLES FRANCE ";"Groupement forestier";"AMELIORATION, EQUIPEMENT, CONSERVATION ET GESTION DE MASSIFS FORESTIERS ACQUIS OU A ACQUERIR";"'45";"";"500.0";"Active"
"CAVES SAINT MORAND EDH";"02/01/1948";"'588504860";"";"";"SA à conseil d'administration";"";"";"RUE DES MAGASINS 67000 STRASBOURG FRANCE ";"";"Active"
"ETABLISSEMENTS LHUILLIER SEYER";"02/01/1948";"'761801299";"MARIE-CHRISTINE JULIETTE SERAPHINE FRITSCH";"";"Société par actions simplifiée";"";"";"RUE DU PORT AUX PLANCHES 54480 CIREY-SUR-VEZOUZE FRANCE 19 RUE MARECHAL FOCH 54480 CIREY-SUR-VEZOUZE FRANCE 1 CHE DU BARON 54480 CIREY-SUR-VEZOUZE FRANCE ";"500000.0";"Active"
"SCI LA PLANCHETTE";"02/01/1948";"'424020618";"AYMERIC VINCENOT , EMMANUEL VINCENOT, AXELLE VINCENOT, GASTON CHAMPAGNE, JEAN-MARIE CHAMPAGNE, DIDIER CHAMPAGNE, ANNE CHAMPAGNE, CHRISTOPHE Champagne, STEPHANIE Champagne, ANTOINE CHAMPAGNE ";"3 IMP DE LA PLANCHETTE 75003 PARIS FRANCE ";"Société civile immobilière";"ADMINISTRATION POSSESSION ET EXPLOITATION D'UN IMMEUBLE SIS 3 IMPASSE DE LA PLANCHETTE  ACQUISITION, GESTION ET EXPLOITATION DE TOUS AUTRES IMMEUBLES";"'75";"";"500000.0";"Active"
"CUMA DE GORREVOD-REYSSOUZE";"02/01/1948";"'379973274";"THIERRY ANTOINAT , REGIS BERNARD PREVEL";"MAIRIE 01190 GORREVOD FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"UTILISATION EN COMMUN DE MATERIEL AGRICOLE";"'01";"";"";"Active"
"SOCIETE CIVILE IMMOBILIERE SAINT JEAN";"03/01/1948";"'444118038";"MICHELE MARTIN";"17 RUE GAMBETTA 92420 VAUCRESSON FRANCE ";"Société civile";"ACHAT DE TOUS IMMEUBLES CONSTRUCTION DE TOUTES MAISONS D'HABITATION BATIMENTS ADMINISTRATION EXPLOITATION PAR BAIL VENTE DE TOUS IMMEUBLES BATIS OU NON BATIS";"'92";"16 RUE COLETTE 78860 SAINT-NOM-LA-BRETECHE FRANCE ";"762.25";"Active"
"SCI SAINT LOUIS";"05/01/1948";"'443337571";"AUDREY ABRAMI, THIERRY ABRAMI, GEORGES BERTIL KARL OLOFSSON";"IMP SAINT-MARTIN 13400 AUBAGNE FRANCE ";"Société civile immobilière";"acquisition gestion d'immeubles et droits immobiliers";"'13";"36 RUE SAINTE 13001 MARSEILLE FRANCE ";"3000.0";"Active"
"ETABL BRILLET SARL";"05/01/1948";"'639200559";"BERNARD RENE EUGENE BRILLET, FOUREL";"LE VIVIER 35460 VAL-COUESNON FRANCE ";"Société à responsabilité limitée";"minoterie - - - - - - ------ - - - - -";"'35";"";"6991.31";"Active"
"SCI  DU BRUGET";"06/01/1948";"'428335855";"JACQUELINE BABOIN, YVES BALAY, FRANCOISE BALAY, HELENE CHEVALIER, PHILIPPE JACQUES CHEVALIER";"LE BRUGET 07380 JAUJAC FRANCE ";"Société civile immobilière";"Acquisition, gestion, administration de tous biens mobiliers et immobiliers";"'07";"235 AV JEAN DALMAS 13090 AIX-EN-PROVENCE FRANCE ";"914.69";"Active"
"CUMA BATTAGE MOTOCULTURE SANTENAY";"06/01/1948";"'775417512";"FREDERIC BRUNEAU, CYRILLE CHEVALIER, JEROME HERVET, THIERRY MAURICE JACQUES LEBLANC, VALERIE LECLERC";" Mairie 41190 SANTENAY FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Mise à disposition de matériels, de machines et d'équipements agricoles.";"'41";"";"";"Active"
"ETABLISSEMENTS LECOMTE-BLAISE";"07/01/1948";"'305850554";"MARIE-BEATRICE DE MISCAULT";"10 RUE DE LA DISTILLERIE 88120 LE SYNDICAT FRANCE ";"Société à responsabilité limitée";"commerce de vins d'Alsace et alcools au détail et en gros, distillerie";"'88";"";"68000.0";"Active"
"SMURFIT KAPPA LORRAINE";"08/01/1948";"'754800456";"PASCAL FERRON";"255 RUE LAVOISIER 54710 LUDRES FRANCE ";"Société par actions simplifiée";"Collecte, preparation, classement et commerce de gros des vieux papiers.";"'54";"";"80000.0";"Active"
"CHEZ PAULINE";"08/01/1948";"'572097095";"GAELLE GUILLAUME";"3 RUE THOUIN 75005 PARIS FRANCE ";"Société à responsabilité limitée";"PRISE DE PARTICIPATION DANS TOUTES SOCIETES AYANT POUR OBJET LA RESTAURATION";"'75";"90 RUE DE LA ROQUETTE 75011 PARIS FRANCE 24 RUE FORTUNY 75017 PARIS FRANCE ";"51920.0";"Active"
"GAROTEX";"10/01/1948";"'582013868";"MAXIME PIERRE ROBERT GABBAI";"1 RUE DES BAUCHES 75016 PARIS FRANCE ";"Société par actions simplifiée";"Vente en gros, demi-gros et détail de tous produits de décoration, moquettes, tapis, teintures, papiers peints, peintures et tissus d'ameublement";"'75";"32 RUE DU FAUBOURG POISSONNIERE 75010 PARIS FRANCE 32 RUE DES ALLAMANDIERS 33800 BORDEAUX FRANCE 25 RTE DE CREIL 95340 BERNES-SUR-OISE FRANCE ";"50000.0";"Active"
"LOYEZ WOESSEN SA";"10/01/1948";"'458500675";"PHILIPPE BONDU";"RUE SAINT PATRICK 59133 PHALEMPIN FRANCE ";"Société par actions simplifiée";"Le conditionnement le négoce et la commercialisation de produits laitiers et autres produits alimentaires.";"'59";"124 RUE ROGER SALENGRO 59790 RONCHIN FRANCE MARCHE D INTERET NATIONAL 59000 LILLE FRANCE ";"920480.0";"Active"
"ALBIZZATI ET CIE";"10/01/1948";"'357800382";"SERGE ALBIZZATTI, JOEL SCHMITT, MICHELE TOUSSAINT HENTZIEN, JEAN-CLAUDE ALBIZZATI, SERGE ALBIZZATI";"RTE DE FAULQUEMONT 57740 LONGEVILLE-LES-SAINT-AVOLD FRANCE ";"Société par actions simplifiée";"TRAVAUX DE MACONNERIE GENERALE";"'57";"ZONE INDUSTRIELLE LEGERE 57740 LONGEVILLE-LES-SAINT-AVOLD FRANCE ";"100000.0";"Active"
"SCI DE L'OASIS SIDO";"10/01/1948";"'443878046";"PASCALE CHRISTIANE ANGELE BERENGER, GEORGES GUSTAVE DIACAKIS, DAPHNEE DOROTHEE DIACAKIS, RICHARD DIACAKIS";"13 BD SCHLOESING 13010 MARSEILLE FRANCE ";"Société civile immobilière";"La propriété, l'achat, la prise à bail avec ou sans promesse de vente et la location de tous immeubles bâtis ou non bâtis en France métropolitaine ainsi que leur administrateur, leur aménagement";"'13";"17 BD SCHLOESING 13010 MARSEILLE FRANCE ";"762.2";"Active"
"COOP AGRIC LAIT VENTE MATHOIS";"10/01/1948";"'783283062";"ANDRE HUBERT COLLIGNON, JEAN SCHMITT";" MAIRIE 54560 Fillières FRANCE ";"Société coopérative agricole";"Effectuer, quels que soient les moyens et techni- ques mis en oeuvre par elle, les opération ci-des- sous précisées en ce qui concerne les catégories de produits également ci-dessous précisées prove- nant exclusivement des exploitations des associés coopérateurs Tous produits agricoles. Faire ou faciliter toutes les opérations concer- nant la production, la transformation, la conser- vation ou la vente.";"'54";"";"5244.0";"Active"
"SCI ELYSEE GABRIEL";"12/01/1948";"'449019793";"NOEMIE ALIX LEONORA MICHELE DE ROTHSCHILD, EVE LOUISE CHARLOTTE FRANCOISE DE ROTHSCHILD, ALICE ADELAIDE BETTY NADINE DE ROTHSCHILD, OLIVIA CLAIRE ELISABETH RAYMONDE DE ROTHSCHILD, ARIANE LANGNER";"10 RUE DE L'ELYSEE 75008 PARIS FRANCE ";"Société civile immobilière";"La propriété, l'administration et l'exploitation par bail, location ou autrement des immeubles qui seront ci-après apportés à la société, la mise en valeur de ces immeubles par toutes édifications, améliorations et travaux.";"'75";"";"8232.25";"Active"
"SOC CIVILE DE NACQUEVILLE";"13/01/1948";"'780927794";"THIERRY HUMBERT THOMAS MARIE RAPHAEL D'HARCOURT, FLORENCE JOAN MARY D'HARCOURT, ALBAN FRANCOIS ARGYLE MARIE D'HARCOURT, QUITTERIE TOSCANE ELIZABETH MARIE D'HARCOURT, HILDEVERT ANNE-PIERRE STANLEY GODFREY MARIE D'HARCOURT";"CHATEAU DE NACQUEVILLE 50440 LA HAGUE FRANCE ";"Société civile";"Exploitation d'une propriété situé principalement sur la commune de Nacqueville et par extension Celle de Querqueville, la mise en valeur de cette propriété par transformation aménagement amélioration démolition ou reconstruction tous modes de cultures et d'élevage quelconques, son administration par bail, location métayage";"'50";"";"8280.0";"Active"
"SOC CIVILE IMMOBIL ET AGRICOLE VERIGNON";"13/01/1948";"'449844752";"LOUISE JUSTINE DE REMUSAT, GEORGES LOUIS DE REMUSAT, LOUIS CHARLES DE REMUSAT, PHILIPPE JULIEN MURAT-DAVID";"  83630 VERIGNON FRANCE ";"Société civile";"PROPRIETE GESTION ET EXPLOITATION NOTAMMENT PAR VOIE DE MISE A DISPOSITION DES ASSOCIES DE TOUS SES BIENS IMMOBILIERS";"'83";"";"10823.88";"Active"
"SARL BERNARD FABRE ET FILS";"13/01/1948";"'716520804";"BERNARD-HENRI YVON FABRE, BERNARD FABRE";"PAS JEAN ROSTAND 81300 GRAULHET FRANCE ";"Société à responsabilité limitée";"Négoce, vente à la commission, dépôt, importation et exportation de tous produits et fournitures pour mégisserie, maroquinerie, chaussures, Galoches, bourrellerie, cordonnerie et découpé de peaux pour chaussures. Vente de toutes fournitures, accessoires et produits divers destinés à l'industrie du bâtiment, et à l'automobile. Achat et transformation négoce de papier.";"'81";"37 RUE DU DOCTEUR JEAN BERNARDBEIG 31100 TOULOUSE FRANCE 7 RUE BOSQUET 81300 GRAULHET ";"50000.0";"Active"
"ASTON SPORTS";"14/01/1948";"'574800975";"VALERIE ASTON";"15 RUE DE BORDEAUX 37000 TOURS FRANCE ";"Société à responsabilité limitée";"Vente d'articles de sport, bonneterie sportive, jeux et jouets jouets.";"'37";"16 RUE DE BORDEAUX 37000 TOURS FRANCE ";"14950.0";"Active"
"LE GUIPAGE MODERNE - LGM";"15/01/1948";"'562137414";"PATRICK PELLEN";"5 RUE DE BICETRE 94240 L'HAY-LES-ROSES FRANCE ";"Société par actions simplifiée";"Achat fabrication et vente de tous câbles fils électriques.";"'94";"39 T RUE D ARCUEIL 94250 GENTILLY FRANCE 86 AV RASPAIL 94250 GENTILLY FRANCE ";"180000.0";"Active"
"PRINTANIA HOTEL";"15/01/1948";"'559805080";"";"7 RUE MONTBAURON 78000 VERSAILLES FRANCE ";"Société par actions simplifiée";"Hôtel de tourisme";"'78";"";"37000.0";"Active"
"DRAGAGES GARONNAIS EXTR SABLES";"15/01/1948";"'545780165";"BRUNO MARC GIULIANI, PASCAL HUGUES GIULIANI";"27 AV SAINT-JEAN 31800 VALENTINE FRANCE ";"Société à responsabilité limitée";"Dragages, carrières, fabrication de tous produits en béton.";"'31";"RTE DE L'ANCIEN CIRCUIT 31800 VILLENEUVE-DE-RIVIERE FRANCE ";"1000000.0";"Active"
"S.D.M.";"15/01/1948";"'562105098";"JOSE MUNOZ BLANCO, JOSE ANTONIO MUNOZ BLANCO";"28 AV DU MAL DE LATTRE DE TASSIGNY 94410 SAINT-MAURICE FRANCE ";"Société par actions simplifiée";"FABRICATION ENTRETIEN REPARATION DE TOUS MATERIELS APPAREILS  SE RATTACHANT A L ELECTRICITE";"'94";"51 RUE DE PARIS 94340 JOINVILLE-LE-PONT FRANCE 26 AV DU MAL DE LATTRE DE TASSIGNY 94410 SAINT-MAURICE FRANCE ";"45734.71";"Active"
"SOCIETE ELECTRO MECANIQUE DU VALLESPIR";"16/01/1948";"'604200790";"OLIVIER PIERRE JOSEPH ASTIVILL, OLIVIER ASTIVILL";"22 AV MARECHAL DE LATTRE DE TASSIGNY 66160 LE BOULOU FRANCE ";"Société à responsabilité limitée";"Electricité générale, bâtiment et industrielle et d'une activité commerciale d'électro ménager, d'électro mécanique, de télévision, hifi, principalement spécialisée dans l'achat, la vente, la location ainsi que l'entretien et la réparation se rapportant à cette dernière activité";"'66";"";"7622.0";"Active"
"SCI  DU 26 RUE SAINT CLAUDE A PARIS";"16/01/1948";"'428417018";"ALAIN ANKIERMAN, SYLVIE Ankierman, RAPHAEL Ankierman, ERIC Ankierman";"26 RUE SAINT-CLAUDE 75003 PARIS FRANCE ";"Société civile immobilière";"LOCATION DE LOCAUX";"'75";"";"1067.14";"Active"
"CUMA DE TRENTELS";"17/01/1948";"'782219612";"AMANDINE BARBARA BELBES, XAVIER GOUDAIL, DIDIER GUILLOT, JULIEN LAURENT, NICOLAS MASSOU, DOMINIQUE PONS";"MAIRIE 47140 TRENTELS FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation en commun de matériel agricole";"'47";"";"";"Active"
"ATLANTIC DEVELOPPEMENT";"17/01/1948";"'858800055";"PATRICK GILBERT ANTOINE PAUL FOURAGE, FRANCOISE GRIMAUD";"LD Tournebride  44690 La Haie-Fouassière FRANCE ";"Société par actions simplifiée";"Prise de tous intérets et participations directes et indirectes par tous moyens l'achat la souscription la gestion de tous droits sociaux, actions, obligations dans toutes affaires ou entreprises. Animation des sociétés qu'elles contrôlent en participant à la conduite de leur politique. La réalisation et la gestion pour ses filiales de tous travaux et la prestation de tous services notamment en matière administrative, de gestion, d'organisation, d'aide au recrutement, technique, commerciale, financière, d'études, de recherche et de développement. L'acquisition, la mise en valeur, la gestion, l'administration, l'exploitation par bail ou autrement de tous immeubles bâtis ou non bâtis. La construction de tous immeubles. Toutes actions ou toutes activités de conseil et de formation. Toutes opérations de portage salarial. Toutes activités d'achat et de vente de fourniture et de matériel.";"'44";"";"551664.0";"Active"
"CUMA DE MONTLAUR";"18/01/1948";"'776724460";"OLIVIER FRANCOIS JOEL BARBE, CEDRIC ALBERT MAXIME BERNARD, MICHEL ADRIEN JEAN-MARIE BERNARD, CHRISTOPHE ETIENNE RENE BOUSQUET , FREDERIC FRANCOIS ELIE DOMINIQUE";"ZA CALLIJO 12400 MONTLAUR FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation de matériel agricole en commun";"'12";"";"";"Active"
"SOCIETE COOPERATIVE AGRICOLE LAITIERE DE TANAVELLE";"18/01/1948";"'779109925";"EMMANUEL BOUSQUET, JEAN PAUL BOYER, PASCAL JEAN MARIE DAIX";"LE BOURG 15100 TANAVELLE FRANCE ";"Société coopérative agricole";"production,collecte,vente de lait et produits laitiers.";"'15";"";"";"Active"
"ETABLISSEMENT J.FERRAND & CIE";"19/01/1948";"'571850361";"JULIEN FERRAND";"Z.A. LE PASTISSIER 11160 RIEUX-MINERVOIS FRANCE ";"Société à responsabilité limitée";"MATERIAUX DE CONSTRUCTION";"'11";"6 PL DU GUINOT 11160 RIEUX MINERVOIS FRANCE ";"";"Active"
"CARTOREL";"01/12/1948";"'025770470";"JULIEN NUSSE";"384 RUE DES CHENES VERTS 79410 ECHIRE FRANCE ";"Société par actions simplifiée";"Reliure cartonnerie papeterie";"'79";"358 AV DE PARIS 79000 NIORT FRANCE ";"456000.0";"Active"
"LES LABORATOIRES SERVIER";"01/12/1948";"'085480796";"SYLVIE CARDOT";"50 RUE CARNOT 92150 SURESNES FRANCE ";"Société par actions simplifiée";"Exploitation de laboratoires de produits chimiques ou pharmaceutiques";"'92";"905 RTE DE SARAN 45520 GIDY FRANCE 326 RUE MARCELLIN BERTHELOT 45400 FLEURY-LES-AUBRAIS FRANCE 22 RUE GARNIER 92200 NEUILLY-SUR-SEINE FRANCE 52 BD SAINT-MARCEL 75005 PARIS FRANCE 71 CRS ALBERT THOMAS 69003 LYON FRANCE 408 AV DU PRADO 13008 MARSEILLE FRANCE BD DE TURIN 59777 LILLE FRANCE 192 AV CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE FRANCE 1 RUE CARLE HEBERT 92400 COURBEVOIE FRANCE 12 PL DE LA DEFENSE 92400 COURBEVOIE FRANCE 6 PL DES PLEIADES 92400 COURBEVOIE FRANCE 35 RUE DE VERDUN 92150 SURESNES FRANCE 405 RUE DES CHATAIGNIERS 45770 SARAN FRANCE RD 02152 45760 BOIGNY-SUR-BIONNE FRANCE ";"237364812.0";"Active"
